epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3829,1.83899,4.88336,2.56211,2.04703,0.00333,1,0.19509,0.06505,0.00333,1,0.14626,0.05914,1.80699,3.23651,3.45412,3.51287,0,0,0
2,53.7453,1.76907,5.55026,2.71573,2.29061,0.00333,1,0.29184,0.0934,0.00333,1,0.20819,0.08623,1.77826,3.32265,3.51614,3.5749,1.9208e-05,1.9208e-05,1.9208e-05
3,68.5591,1.87544,5.18641,2.84602,2.42123,0.00333,1,0.31942,0.10502,0.00333,1,0.28436,0.11999,1.75743,3.2157,3.43152,3.46452,3.6832e-05,3.6832e-05,3.6832e-05
4,83.1636,1.76298,4.05743,2.69552,2.13487,0.00333,1,0.39361,0.14279,0.00333,1,0.35002,0.1594,1.70023,3.21298,3.49468,3.26165,5.2872e-05,5.2872e-05,5.2872e-05
5,101.94,1.64486,4.11369,2.47632,2.07649,0.00333,1,0.45611,0.18097,0.00333,1,0.43897,0.20332,1.61347,3.09607,3.42984,3.08333,6.7328e-05,6.7328e-05,6.7328e-05
6,123.295,1.52032,3.32312,2.3287,1.99106,0.00333,1,0.56,0.26091,0.00333,1,0.56,0.29789,1.52164,2.9183,3.46761,2.89526,8.02e-05,8.02e-05,8.02e-05
7,141.702,1.38044,2.85559,2.37005,1.8788,0.00333,1,0.76269,0.35588,0.00333,1,0.76269,0.40654,1.41733,2.80353,3.4167,2.71213,9.1488e-05,9.1488e-05,9.1488e-05
8,153.84,1.43127,2.84411,2.25301,1.92486,0.00333,1,0.85269,0.40656,0.00333,1,0.85269,0.47046,1.36632,2.661,3.4066,2.51566,0.000101192,0.000101192,0.000101192
9,166.112,1.40134,2.74099,2.08452,1.87147,0.00333,1,0.921,0.44921,0.00333,1,0.921,0.5277,1.29167,2.49305,3.35411,2.30351,0.000109312,0.000109312,0.000109312
10,178.263,1.12889,1.94241,1.84414,1.58834,0.00333,1,0.995,0.52462,0.00333,1,0.995,0.57311,1.18418,2.30786,3.42591,2.11703,0.000115848,0.000115848,0.000115848
11,191.186,1.253,2.79786,2.08855,1.83436,0.00333,1,0.995,0.49876,0.00333,1,0.995,0.57951,1.07322,2.24533,3.4673,2.07995,0.0001208,0.0001208,0.0001208
12,204.544,1.05329,1.82843,1.69082,1.53927,0.00333,1,0.971,0.50626,0.00333,1,0.971,0.5799,1.07406,2.21734,3.36755,2.01315,0.000124168,0.000124168,0.000124168
13,217.911,1.20619,1.92592,1.56426,1.56717,0.00333,1,0.971,0.56951,0.00333,1,0.971,0.59484,0.99906,2.12314,3.33447,1.93349,0.000125952,0.000125952,0.000125952
14,233.088,1.13565,1.86005,1.38584,1.425,0.00333,1,0.995,0.64915,0.00333,1,0.995,0.6442,0.95252,1.95685,3.29032,1.81877,0.000126152,0.000126152,0.000126152
15,248.903,1.10171,1.55275,1.49822,1.65559,0.00333,1,0.995,0.64901,0.00333,1,0.995,0.65948,0.81993,1.84434,3.27519,1.75855,0.000124768,0.000124768,0.000124768
16,262.531,1.06702,1.59199,2.24119,1.77664,0.00333,1,0.995,0.67372,0.00333,1,0.995,0.67172,0.89853,1.8208,3.27923,1.7907,0.0001218,0.0001218,0.0001218
17,277.095,1.17895,1.59281,2.40628,1.86535,0.00333,1,0.995,0.69364,0.00333,1,0.995,0.68439,0.95534,1.74767,3.26711,1.85235,0.000117248,0.000117248,0.000117248
18,291.04,1.07796,1.74563,2.31968,1.97227,0.00333,1,0.995,0.69364,0.00333,1,0.995,0.68439,0.95534,1.74767,3.26711,1.85235,0.000111112,0.000111112,0.000111112
19,305.116,1.22925,2.02861,2.53756,1.97437,0.00333,1,0.995,0.65841,0.00333,1,0.995,0.67589,0.92191,1.73865,3.23217,1.89764,0.000103392,0.000103392,0.000103392
20,319.406,0.78837,1.56609,1.92366,1.7348,0.00333,1,0.995,0.65841,0.00333,1,0.995,0.67589,0.92191,1.73865,3.23217,1.89764,9.4088e-05,9.4088e-05,9.4088e-05
21,332.932,0.7544,1.46383,1.90134,1.49788,0.00333,1,0.995,0.62369,0.00333,1,0.995,0.67607,0.93805,1.64355,3.26279,1.90327,8.32e-05,8.32e-05,8.32e-05
22,345.625,0.85831,1.22887,2.0385,1.61298,0.00333,1,0.995,0.62369,0.00333,1,0.995,0.67607,0.93805,1.64355,3.26279,1.90327,7.0728e-05,7.0728e-05,7.0728e-05
23,358.1,0.75471,1.325,1.80087,1.40575,0.00333,1,0.995,0.6269,0.00333,1,0.995,0.67576,0.9674,1.58008,3.19926,1.87908,5.6672e-05,5.6672e-05,5.6672e-05
24,373.877,0.76922,1.23102,1.83406,1.64268,0.00333,1,0.995,0.6269,0.00333,1,0.995,0.67576,0.9674,1.58008,3.19926,1.87908,4.1032e-05,4.1032e-05,4.1032e-05
25,388.23,0.7133,1.22487,1.97397,1.493,0.00333,1,0.995,0.6357,0.00333,1,0.995,0.6907,0.93336,1.53123,3.14965,1.85188,2.3808e-05,2.3808e-05,2.3808e-05
